Student ID,WorldSpace,index,Submission_TreeDist_Successive,nb_tentative,pct_activity,error,missing,move1,move2,pickup1,place1,nb_error,nb_missing,nb_move1,nb_move2,nb_pickup1,nb_place1,pct_error,pct_missing,pct_move1,pct_move2,pct_pickup1,pct_place1,euclidean_distance,delta_successive,success,has_error,activity,seq_error,case1,case2,case3,cases,activity_all,bucket_delta_successive,bucket_Submission_TreeDist_Successive,median_split_delta_successive,median_split_Submission_TreeDist_Successive,at_least_2_tentatives
AUS123757,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,false']",0,0.0,6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.18851840701914957,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123757,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,false']",1,8.0,6,0.16666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.23677875351819533,0.18152799591048577,1,0,2,none,0,0,0,none,123,high,high,high,high,1
AUS123757,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,false']",2,0.0,6,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.23677875351819533,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123757,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,false']",3,1.0,6,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.23677875351819533,0.12346619958119871,1,0,2,none,0,0,0,none,123,high,low,high,low,1
AUS123757,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,E,false']",4,3.0,6,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16564728911226984,0.12346619958119871,1,0,2,none,0,0,0,none,123,high,low,high,high,1
AUS123757,"['E,E,E,ra-world-arm,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeA,E,false']",5,9.0,6,0.8333333333333334,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.07362101738323104,0.07362101738323104,1,0,2,none,0,0,1,case3,123,high,high,high,high,1
AUS123757,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,false']",6,5.0,6,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.055215763037423274,1,0,2,none,0,0,0,none,123,high,low,high,high,1
AUS123837,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,E,E,false']",0,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18851840701914957,0.0,1,0,2,none,0,0,0,none,123,low,low,low,low,1
AUS123837,"['E,ra-world-arm,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,', 'E,ra-world-shape ra-world-shapeB,E,ra-world-shape ra-world-shapeA,E,false']",1,12.0,9,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16739559209724567,1,0,2,none,0,0,0,none,123,high,high,high,high,1
AUS123837,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeA,E,E,', 'E,E,ra-world-shape ra-world-shapeB,ra-world-shape ra-world-shapeB,E,false']",2,3.0,9,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23677875351819533,0.23677875351819533,1,0,2,none,0,0,0,none,123,high,low,high,high,1
AUS123837,"['E,E,ra-world-arm,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeB,E,false']",3,7.0,9,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666052879634526,0.20155308052550178,1,0,2,none,0,0,0,none,123,high,high,high,high,1
